city,protests,change
"phoenix, AZ",8,2
"memphis, TN",4,0
"lasvegas, NV",1,4
"philadelphia, PA",11,4
"losangeles, CA",22,-6
"atlanta, GA",15,3
"columbus, OH",2,0
"houston, TX",5,-10
"neworleans, LA",3,-3
"bronx, NY",1,2
"batonrouge, LA",2,3
"miami, FL",4,-3
"kansascity, MO",3,4
"tulsa, OK",0,-2
"oakland, CA",17,-6
"indianapolis, IN",2,-8
"oklahomacity, OK",0,-6
"orlando, FL",5,-2
"milwaukee, WI",17,3
"chicago, IL",27,-7
"charlotte, NC",6,1
"baltimore, MD",16,-3
"detroit, MI",4,2
"newyork, NY",43,-13
"brooklyn, NY",1,5
"dallas, TX",7,-6
"newark, NJ",5,9
"jacksonville, FL",4,-6
"washington, DC",22,-8
"cleveland, OH",19,-5
"st.louis, MO",32,1
"louisville, KY",3,-1
