status,reported,description,address,type,occurred
CLOSED,2019-06-05 10:00:00+00:00,Officer dispatched to take a report of a stolen black and silver Michele watch valued at $200.00.                                                                                                                                                     Update 6/25/19: This case is closed pending any further investigation.,90 SMITH STBOSTON,THEFT REPORT,5/31/19 - 4:00 PM 6/4/19 - 8:30 AM
CLOSED,2019-11-06 23:11:00+00:00,Officer dispatched to a report of two individuals engaged in suspicious activity. Officer arrived and reported that the    individuals were gone on arrival.,ELIOT HOUSE C 101 DUNSTER ST CAMBRIDGE,SUSPICIOUS ACTIVITY,11/6/19 11:11 PM
CLOSED,2019-08-31 12:21:00+00:00,"Officers dispatched to a report of an individual laying on the ground. Officers arrived, located the individual, and       reported that they were simply enjoying the weather and all was in order.",JOHN HARVARD STATUE 1 HARVARD YARD CAMBRIDGE,SUSPICIOUS ACTIVITY,8/31/19 12:21 PM
CLOSED,2019-08-26 10:15:00+00:00,Officer dispatched to take a report of a suspicious package.,ALDRICH HALL 35 HARVARD WAY ALLSTON,SUSPICIOUS MAIL/ PACKAGE/BAG,8/26/19 10:15 AM - 10:36 AM
CLOSED,2019-03-12 10:20:00+00:00,"Officers dispatched to a report of an unwanted guest sleeping in the area. Officers arrived, located individual and sent  
them on their way.",SMITH CAMPUS CENTER - WELCOME 1350 MASSACHUSETTS AVE CAMBRIDGE,UNWANTED GUEST,"3/12/19
10:20 AM"
OPEN,2019-11-20 17:16:00+00:00,Officer dispatched to take a report of stolen unattended and unsecured Apple Airpods valued at $150.00.,SCIENCE CENTER 1 OXFORD ST CAMBRIDGE,THEFT REPORT,11/13/19 8:45 PM - 9:30 PM
CLOSED,2020-01-30 13:32:00+00:00,Officers dispatched to a report of an unwanted guest in the building. Officers arrived and reported that the individual    was gone on arrival.,WASSERSTEIN HALL 1585 MASSACHUSETTS AVE CAMBRIDGE,UNWANTED GUEST,1/30/20 1:25 PM - 1:50 PM
CLOSED,2019-06-02 03:58:00+00:00,"Officers dispatched to a report of an individual sleeping in the building. Officer arrived, located the individual, and    reported that they had just briefly fallen asleep while studying.",SCIENCE CENTER 1 OXFORD ST CAMBRIDGE,UNWANTED GUEST,6/2/19 3:58 AM
CLOSED,2019-07-05 10:41:00+00:00,Officers dispatched to a report of an unwanted guest. Officers arrived and report the individual is gone on arrival.,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,UNWANTED GUEST,"7/5/19
10:41 AM"
CLOSED,2020-05-27 16:35:00+00:00,Officer dispatched to take a report of past suspicious activity.,MCCULLOCH HALL 44 HARVARD WAY ALLSTON,SUSPICIOUS ACTIVITY,5/26/20 7:00 PM - 8:30 PM
CLOSED,2019-08-02 08:38:00+00:00,"Officer while on detail observed two motor vehicles exceeding the speed limit and operating on the wrong side of the       roadway. Officer stopped both motor vehicles and conducted field interviews with the operators. Following the field        interviews, the operators were advised of the illegality and dangerousness of operating their motor vehicles in such a     manner and sent on their way.",ROTTERDAM ST / HAGUE STALLSTON,FIELD INTERVIEW,8/2/19 8:35 AM - 8:44 AM
CLOSED,2019-07-01 12:46:00+00:00,"Officer dispatched to take a report of a stolen gray Cannondale bicycle valued at $700.00 and an attempted theft of a     
purple Bianchi bicycle. The reporting individuals informed the officer that the Cannondale bicycle was secured to the bike
rack with a cable lock that was cut and left at the scene and that the Bianchi bicycle was secured to the bike rack with a
U-lock that was still at the scene.",FAS OFFICES 60 JFK ST CAMBRIDGE,THEFT REPORT,"7/1/19
7:30 AM - 12:45 PM"
CLOSED,2019-03-29 17:27:00+00:00,"Officers dispatched to a report of an unwanted guest in the building. Officers arrived, located the individual, and       
conducted a field interview. The individual was then issued a verbal trespass warning for all Harvard University property 
and sent on their way.",HARKNESS COMMONS 14 EVERETT ST CAMBRIDGE,TRESPASS WARNING,"3/29/19
5:25 PM - 6:30 PM"
CLOSED,2019-05-06 11:50:00+00:00,"Officers dispatched to a report of suspicious activity.  Officers arrived and reported that an individual was reciting    
religious scripture in the building.",SCIENCE CENTER PLAZA 1 OXFORD ST CAMBRIDGE,SUSPICIOUS ACTIVITY,"5/6/19
11:50 AM"
CLOSED,2020-03-18 08:36:00+00:00,Officer dispatched to take a report of stolen pages from several books valued at $100.00.                                                                                                                                                             Update 3/19/20: This case is closed pending any further investigation.,WIDENER LIBRARY 31 HARVARD YARD CAMBRIDGE,THEFT REPORT,9/1/19 - 12:15 PM 2/7/20 - 2:21 PM
CLOSED,2019-06-05 09:13:00+00:00,Officer dispatched to take a report of an assault and battery.,DIVINITY AVECAMBRIDGE,ASSAULT REPORT,6/5/19 9:10 AM - 10:30 AM
OPEN,2019-11-27 12:06:00+00:00,Officer took a walk-in report of suspicious social media activity.,HARVARD UNIVERSITY POLICE DEPA 1033-6 MASSACHUSETTS AVE CAMBRIDGE,SUSPICIOUS CALL/TEXT/MAIL/SOCI,10/1/19 - 0:01 AM 11/27/19 - 12:45 PM
CLOSED,2019-03-26 21:11:00+00:00,"Officer dispatched to a report of a bicycle theft in progress. Officer arrived, located the individual, and conducted a   
field interview. The individual was run for wants/warrants with negative results. Cambridge Police then arrived on scene  
and took jurisdiction over the incident. Cambridge Police reported that a complaint with be sought against the individual 
for Receiving Stolen Property and that they would take possession of the blue Specialized Mountain Bicycle valued at      
$300.00.",LINNAEAN ST / MASSACHUSETTS AVE REPORT,ASSIST CPD - THEFT,"3/26/19
9:05 PM - 10:15 PM"
OPEN,2019-04-28 16:31:00+00:00,Officer dispatched to take a report of past suspicious activity.,ST PAUL CHURCH 29 MT AUBURN ST CAMBRIDGE,SUSPICIOUS ACTIVITY,"4/28/19
10:00 AM - 12:30 PM"
CLOSED,2019-06-04 16:39:00+00:00,Officer dispatched to take a report of previous unwanted guests on the roof of the building.,38 TRAVIS ST,ASSIST BOSTON POLICE       ,"6/4/19
4:35 PM - 5:00 PM"
