city,protests,change
"phoenix, AZ",8,6
"memphis, TN",4,-5
"laredo, TX",0,6
"lasvegas, NV",1,1
"st.paul, MN",2,1
"santaana, CA",0,2
"tacoma, WA",1,4
"anaheim, CA",0,1
"seattle, WA",16,-10
"philadelphia, PA",11,-3
"tucson, AZ",2,5
"redding, CA",0,2
"sacramento, CA",3,0
"reno, NV",1,4
"losangeles, CA",22,-11
"omaha, NE",0,-4
"atlanta, GA",15,4
"columbus, OH",2,8
"portland, OR",11,0
"sanantonio, TX",5,-1
"elpaso, TX",1,-3
"dayton, OH",1,-3
"aurora, CO",2,-1
"kansascity, KS",0,-4
"stockton, CA",0,-3
"richmond, VA",7,5
"modesto, CA",0,1
"mesa, AZ",0,8
"houston, TX",5,-19
"denver, CO",10,2
"neworleans, LA",3,-5
"sanjose, CA",1,-4
"riverside, CA",1,-3
"bronx, NY",1,4
"pueblo, CO",0,3
"lascruces, NM",0,4
"knoxville, TN",2,-5
"batonrouge, LA",2,3
"littlerock, AR",3,3
"lakeland, FL",0,2
"tampa, FL",4,0
"fresno, CA",0,-8
"miami, FL",4,-8
"scottsdale, AZ",0,1
"glendale, AZ",0,3
"fortworth, TX",0,-10
"kansascity, MO",3,1
"wichita, KS",0,-1
"anchorage, AK",2,4
"tulsa, OK",0,6
"sanbernardino, CA",0,-5
"honolulu, HI",3,2
"oakland, CA",17,-7
"indianapolis, IN",2,-16
"oklahomacity, OK",0,-8
"orlando, FL",5,-4
"akron, OH",0,0
"westminster, CO",0,9
"fayetteville, NC",1,-3
"milwaukee, WI",17,2
"chicago, IL",27,-13
"coloradosprings, CO",0,7
"saltlakecity, UT",4,-1
"bakersfield, CA",1,-8
"austin, TX",2,5
"sanfrancisco, CA",15,-2
"huntsville, AL",1,1
"charlotte, NC",6,6
"baltimore, MD",16,-5
"detroit, MI",4,2
"tallahassee, FL",3,-5
"newyork, NY",43,-21
"brooklyn, NY",1,6
"spokane, WA",0,1
"dallas, TX",7,-9
"boston, MA",16,-1
"tempe, AZ",0,-2
"newark, NJ",5,8
"compton, CA",0,-4
"birmingham, AL",4,4
"albuquerque, NM",4,5
"sandiego, CA",4,-9
"longbeach, CA",0,-4
"arlington, TX",0,4
"springfield, MO",1,-1
"jacksonville, FL",4,-4
"shreveport, LA",1,-1
"nashville, TN",3,-2
"amarillo, TX",0,2
"washington, DC",22,-9
"cleveland, OH",19,-5
"cincinnati, OH",9,-3
"st.louis, MO",32,5
"billings, MT",0,1
"louisville, KY",3,3
"norfolk, VA",1,3
